
910643-Dep. Leur Lomanto Júnior-12- 2010- Locomoção, hospedagem- 322.1
910643-Dep. Leur Lomanto Júnior-01- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-02- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-03- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21000
910643-Dep. Leur Lomanto Júnior-03- 2011- Divulgação da  atividade parlamentar- 10987.2
910643-Dep. Leur Lomanto Júnior-03- 2011- Locomoção, hospedagem- 0
910643-Dep. Leur Lomanto Júnior-04- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-05- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-05- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21000
910643-Dep. Leur Lomanto Júnior-05- 2011- Locomoção, hospedagem- 1091.28
910643-Dep. Leur Lomanto Júnior-06- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-06- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 26000
910643-Dep. Leur Lomanto Júnior-06- 2011- Divulgação da  atividade parlamentar- 8520
910643-Dep. Leur Lomanto Júnior-06- 2011- Locomoção, hospedagem- 441.8
910643-Dep. Leur Lomanto Júnior-07- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-07- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21000
910643-Dep. Leur Lomanto Júnior-07- 2011- Locomoção, hospedagem- 918.6
910643-Dep. Leur Lomanto Júnior-08- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-08- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
910643-Dep. Leur Lomanto Júnior-08- 2011- Locomoção, hospedagem- 8426.309999999999
910643-Dep. Leur Lomanto Júnior-09- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-09- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 37000
910643-Dep. Leur Lomanto Júnior-09- 2011- Divulgação da  atividade parlamentar- 10920
910643-Dep. Leur Lomanto Júnior-09- 2011- Locomoção, hospedagem- 759.8499999999999
910643-Dep. Leur Lomanto Júnior-10- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-11- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-11- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 42000
910643-Dep. Leur Lomanto Júnior-12- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-12- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
910643-Dep. Leur Lomanto Júnior-12- 2011- Divulgação da  atividade parlamentar- 5190
910643-Dep. Leur Lomanto Júnior-01- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720
910643-Dep. Leur Lomanto Júnior-01- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21000
