
915869-Dep. Zé Raimundo-11- 2012- Locomoção, hospedagem- 145.06
915869-Dep. Zé Raimundo-12- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2500
915869-Dep. Zé Raimundo-12- 2012- Aquisição de material de expediente- 140.29
915869-Dep. Zé Raimundo-12- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 588.9200000000001
915869-Dep. Zé Raimundo-12- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915869-Dep. Zé Raimundo-12- 2012- Divulgação da  atividade parlamentar- 10750
915869-Dep. Zé Raimundo-01- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2592.07
915869-Dep. Zé Raimundo-01- 2013- Aquisição de material de expediente- 355.04
915869-Dep. Zé Raimundo-01- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 6551.559999999999
915869-Dep. Zé Raimundo-01- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915869-Dep. Zé Raimundo-01- 2013- Divulgação da  atividade parlamentar- 7950
915869-Dep. Zé Raimundo-02- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 5092.07
915869-Dep. Zé Raimundo-02- 2013- Aquisição de material de expediente- 941.0699999999999
915869-Dep. Zé Raimundo-02- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 6428.03
915869-Dep. Zé Raimundo-02- 2013- Divulgação da  atividade parlamentar- 12950
915869-Dep. Zé Raimundo-03- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2815.15
915869-Dep. Zé Raimundo-03- 2013- Aquisição de material de expediente- 1047.22
915869-Dep. Zé Raimundo-03- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 6080.69
915869-Dep. Zé Raimundo-03- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915869-Dep. Zé Raimundo-03- 2013- Divulgação da  atividade parlamentar- 13080
915869-Dep. Zé Raimundo-04- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2819.76
915869-Dep. Zé Raimundo-04- 2013- Aquisição de material de expediente- 3306.43
915869-Dep. Zé Raimundo-04- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1230.61
915869-Dep. Zé Raimundo-04- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
915869-Dep. Zé Raimundo-04- 2013- Divulgação da  atividade parlamentar- 14150
915869-Dep. Zé Raimundo-04- 2013- Locomoção, hospedagem- 578.8
915869-Dep. Zé Raimundo-05- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3135.81
915869-Dep. Zé Raimundo-05- 2013- Aquisição de material de expediente- 496.37
915869-Dep. Zé Raimundo-05- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 6038.84
915869-Dep. Zé Raimundo-05- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5106.12
915869-Dep. Zé Raimundo-05- 2013- Divulgação da  atividade parlamentar- 8950
915869-Dep. Zé Raimundo-06- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 92.06999999999999
915869-Dep. Zé Raimundo-06- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1024.71
915869-Dep. Zé Raimundo-06- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915869-Dep. Zé Raimundo-06- 2013- Divulgação da  atividade parlamentar- 11200
915869-Dep. Zé Raimundo-07- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2712.01
915869-Dep. Zé Raimundo-07- 2013- Aquisição de material de expediente- 387.4300000000001
915869-Dep. Zé Raimundo-07- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1027.96
915869-Dep. Zé Raimundo-07- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915869-Dep. Zé Raimundo-07- 2013- Divulgação da  atividade parlamentar- 6950
915869-Dep. Zé Raimundo-08- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2805.29
915869-Dep. Zé Raimundo-08- 2013- Aquisição de material de expediente- 641.2900000000001
915869-Dep. Zé Raimundo-08- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1028.84
915869-Dep. Zé Raimundo-08- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10912.24
915869-Dep. Zé Raimundo-08- 2013- Divulgação da  atividade parlamentar- 6250
915869-Dep. Zé Raimundo-09- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2850.16
915869-Dep. Zé Raimundo-09- 2013- Aquisição de material de expediente- 1619.75
915869-Dep. Zé Raimundo-09- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1047.1
915869-Dep. Zé Raimundo-09- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915869-Dep. Zé Raimundo-09- 2013- Divulgação da  atividade parlamentar- 11950
915869-Dep. Zé Raimundo-10- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2645.51
915869-Dep. Zé Raimundo-10- 2013- Aquisição de material de expediente- 1501.7
915869-Dep. Zé Raimundo-10- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1161.15
915869-Dep. Zé Raimundo-10- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5106.12
915869-Dep. Zé Raimundo-10- 2013- Divulgação da  atividade parlamentar- 16619
915869-Dep. Zé Raimundo-11- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2689.86
915869-Dep. Zé Raimundo-11- 2013- Aquisição de material de expediente- 3538.07
915869-Dep. Zé Raimundo-11- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1128.8
915869-Dep. Zé Raimundo-11- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
915869-Dep. Zé Raimundo-11- 2013- Divulgação da  atividade parlamentar- 11330
915869-Dep. Zé Raimundo-12- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2859.39
915869-Dep. Zé Raimundo-12- 2013- Aquisição de material de expediente- 4432.8
915869-Dep. Zé Raimundo-12- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915869-Dep. Zé Raimundo-12- 2013- Divulgação da  atividade parlamentar- 43263.6
