
921271-Dep. Gika Lopes-02- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921271-Dep. Gika Lopes-02- 2017- Divulgação da  atividade parlamentar- 700
921271-Dep. Gika Lopes-02- 2017- Locomoção, hospedagem- 10071.77
921271-Dep. Gika Lopes-03- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 218.53
921271-Dep. Gika Lopes-03- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 23100
921271-Dep. Gika Lopes-03- 2017- Divulgação da  atividade parlamentar- 700
921271-Dep. Gika Lopes-03- 2017- Locomoção, hospedagem- 10071.46
921271-Dep. Gika Lopes-04- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2671.8
921271-Dep. Gika Lopes-04- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921271-Dep. Gika Lopes-04- 2017- Divulgação da  atividade parlamentar- 7438.15
921271-Dep. Gika Lopes-04- 2017- Locomoção, hospedagem- 10066.6
921271-Dep. Gika Lopes-05- 2017- Aquisição de material de expediente- 904.63
921271-Dep. Gika Lopes-05- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2683.67
921271-Dep. Gika Lopes-05- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921271-Dep. Gika Lopes-05- 2017- Divulgação da  atividade parlamentar- 1400
921271-Dep. Gika Lopes-05- 2017- Locomoção, hospedagem- 10077.41
921271-Dep. Gika Lopes-06- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2659.1
921271-Dep. Gika Lopes-06- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921271-Dep. Gika Lopes-06- 2017- Divulgação da  atividade parlamentar- 10960
921271-Dep. Gika Lopes-06- 2017- Locomoção, hospedagem- 10000
921271-Dep. Gika Lopes-07- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2677.4
921271-Dep. Gika Lopes-07- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921271-Dep. Gika Lopes-07- 2017- Locomoção, hospedagem- 10099.13
921271-Dep. Gika Lopes-08- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2651.05
921271-Dep. Gika Lopes-08- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921271-Dep. Gika Lopes-08- 2017- Divulgação da  atividade parlamentar- 1400
921271-Dep. Gika Lopes-08- 2017- Locomoção, hospedagem- 10034.7
921271-Dep. Gika Lopes-09- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2525.7
921271-Dep. Gika Lopes-09- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921271-Dep. Gika Lopes-09- 2017- Divulgação da  atividade parlamentar- 700
921271-Dep. Gika Lopes-09- 2017- Locomoção, hospedagem- 10036.55
921271-Dep. Gika Lopes-10- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2519.54
921271-Dep. Gika Lopes-10- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921271-Dep. Gika Lopes-10- 2017- Divulgação da atividade parlamentar em redes sociais- 700
921271-Dep. Gika Lopes-10- 2017- Locomoção, hospedagem- 10070.82
921271-Dep. Gika Lopes-11- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2515.96
921271-Dep. Gika Lopes-11- 2017- Assessorias- 9750
921271-Dep. Gika Lopes-11- 2017- Consultorias- 9700
921271-Dep. Gika Lopes-11- 2017- Divulgação da  atividade parlamentar- 344.3
921271-Dep. Gika Lopes-11- 2017- Locomoção de veículo terrestre- 10000
921271-Dep. Gika Lopes-11- 2017- Locomoção, hospedagem- 63.42999999999999
921271-Dep. Gika Lopes-12- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2454.82
921271-Dep. Gika Lopes-12- 2017- Assessorias- 9750
921271-Dep. Gika Lopes-12- 2017- Consultorias- 9700
921271-Dep. Gika Lopes-12- 2017- Divulgação da  atividade parlamentar- 22450
921271-Dep. Gika Lopes-12- 2017- Locomoção de veículo terrestre- 10000
