
915871-Dep. Tom Araújo-03- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 785.83
915871-Dep. Tom Araújo-03- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 37600
915871-Dep. Tom Araújo-03- 2014- Divulgação da  atividade parlamentar- 1100
915871-Dep. Tom Araújo-03- 2014- Locomoção, hospedagem- 1800
915871-Dep. Tom Araújo-04- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1200
915871-Dep. Tom Araújo-04- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 825.3099999999999
915871-Dep. Tom Araújo-04- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 36500
915871-Dep. Tom Araújo-04- 2014- Divulgação da  atividade parlamentar- 1000
915871-Dep. Tom Araújo-04- 2014- Locomoção, hospedagem- 1800
915871-Dep. Tom Araújo-05- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1200
915871-Dep. Tom Araújo-05- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1019.06
915871-Dep. Tom Araújo-05- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915871-Dep. Tom Araújo-05- 2014- Divulgação da  atividade parlamentar- 0
915871-Dep. Tom Araújo-05- 2014- Locomoção, hospedagem- 1800
915871-Dep. Tom Araújo-06- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1200
915871-Dep. Tom Araújo-06- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 600
915871-Dep. Tom Araújo-06- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 70000
915871-Dep. Tom Araújo-06- 2014- Locomoção, hospedagem- 6600
915871-Dep. Tom Araújo-07- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1200
915871-Dep. Tom Araújo-07- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 790.27
915871-Dep. Tom Araújo-07- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915871-Dep. Tom Araújo-07- 2014- Locomoção, hospedagem- 6600
915871-Dep. Tom Araújo-08- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1200
915871-Dep. Tom Araújo-08- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 838.76
915871-Dep. Tom Araújo-08- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915871-Dep. Tom Araújo-08- 2014- Locomoção, hospedagem- 6600
915871-Dep. Tom Araújo-09- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1161.21
915871-Dep. Tom Araújo-09- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915871-Dep. Tom Araújo-09- 2014- Locomoção, hospedagem- 6600
915871-Dep. Tom Araújo-10- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2400
915871-Dep. Tom Araújo-10- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 197.21
915871-Dep. Tom Araújo-10- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 600
915871-Dep. Tom Araújo-10- 2014- Locomoção, hospedagem- 6600
915871-Dep. Tom Araújo-11- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1200
915871-Dep. Tom Araújo-11- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 706.51
915871-Dep. Tom Araújo-11- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 63100
915871-Dep. Tom Araújo-11- 2014- Locomoção, hospedagem- 6600
915871-Dep. Tom Araújo-12- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 600
915871-Dep. Tom Araújo-12- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33300
915871-Dep. Tom Araújo-12- 2014- Divulgação da  atividade parlamentar- 28800
915871-Dep. Tom Araújo-12- 2014- Locomoção, hospedagem- 8240
915871-Dep. Tom Araújo-01- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 708.14
915871-Dep. Tom Araújo-01- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
915871-Dep. Tom Araújo-01- 2015- Divulgação da  atividade parlamentar- 18500
915871-Dep. Tom Araújo-02- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 701.88
915871-Dep. Tom Araújo-03- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 700.95
915871-Dep. Tom Araújo-03- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32000
915871-Dep. Tom Araújo-04- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 704.97
915871-Dep. Tom Araújo-04- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 52600
915871-Dep. Tom Araújo-05- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 104.06
915871-Dep. Tom Araújo-05- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 48000
915871-Dep. Tom Araújo-05- 2015- Locomoção, hospedagem- 10000
915871-Dep. Tom Araújo-06- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16600
915871-Dep. Tom Araújo-06- 2015- Divulgação da  atividade parlamentar- 15300
915871-Dep. Tom Araújo-06- 2015- Locomoção, hospedagem- 10000
915871-Dep. Tom Araújo-07- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 707.46
915871-Dep. Tom Araújo-07- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 18000
915871-Dep. Tom Araújo-07- 2015- Divulgação da  atividade parlamentar- 300
915871-Dep. Tom Araújo-07- 2015- Locomoção, hospedagem- 10000
915871-Dep. Tom Araújo-08- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 101.44
