
919329-Dep. Marquinho Viana-08- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
919329-Dep. Marquinho Viana-08- 2016- Locomoção, hospedagem- 16512.17
919329-Dep. Marquinho Viana-09- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2211.26
919329-Dep. Marquinho Viana-09- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
919329-Dep. Marquinho Viana-09- 2016- Locomoção, hospedagem- 10445.2
919329-Dep. Marquinho Viana-10- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 276.47
919329-Dep. Marquinho Viana-10- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21600
919329-Dep. Marquinho Viana-10- 2016- Locomoção, hospedagem- 12221.88
919329-Dep. Marquinho Viana-11- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2135.74
919329-Dep. Marquinho Viana-11- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 25000
919329-Dep. Marquinho Viana-11- 2016- Divulgação da  atividade parlamentar- 10000
919329-Dep. Marquinho Viana-11- 2016- Locomoção, hospedagem- 8000
919329-Dep. Marquinho Viana-12- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1865.54
919329-Dep. Marquinho Viana-12- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 38000
919329-Dep. Marquinho Viana-12- 2016- Locomoção, hospedagem- 8000
919329-Dep. Marquinho Viana-01- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 3319.79
919329-Dep. Marquinho Viana-01- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
919329-Dep. Marquinho Viana-01- 2017- Divulgação da  atividade parlamentar- 600
919329-Dep. Marquinho Viana-01- 2017- Locomoção, hospedagem- 8000
919329-Dep. Marquinho Viana-02- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2237.79
